Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
LNa,Y01,T0,NA,NA,NA,NA,NA,NA
RDM,Y01,T0,0.62,0.41,0.7,0.66,0.41,0.75
RFM,Y01,T0,14.31,8.63,12.84,11.57,8.8,13.22
RK,Y01,T0,NA,NA,NA,NA,NA,NA
RL,Y01,T0,8.6,6.9,9.6,6.5,8.7,7
RNa,Y01,T0,NA,NA,NA,NA,NA,NA
SDM,Y01,T0,6.11,5.33,5.75,6.26,4.17,5.02
SFM,Y01,T0,85.32,67.38,81.95,91.38,63,71.95
SL,Y01,T0,2.5,1.8,2.4,2.3,1.7,2.2
ST,Y01,T0,0.79,0.71,0.71,0.77,0.62,0.61
TDM,Y01,T0,6.73,5.74,6.45,6.92,4.58,5.77
TFM,Y01,T0,99.63,76.01,94.79,102.95,71.8,85.17
WC,Y01,T0,92.9,70.27,88.34,96.03,67.22,79.4
WCn,Y01,T0,0.932450065,NA,0.931954848,0.932782904,NA,0.932253141
dGP,Y02,control,1923295,NA,1770466,1787563,NA,1830292
GPF,Y02,control,2147418,NA,1979628,1974949,2323098,2038264
GPI,Y02,control,224123,232212,209162,187386,177287,207972
L4A,Y02,control,14.8488,16.2402,NA,14.8235,16.9747,15.7293
L4DM,Y02,control,16.62,18.44,NA,14.4,19.84,19.9
L4FM,Y02,control,200.31,219.11,NA,188.78,248.87,233.5
LeafElongationFactor,Y02,control,0.6479,0.6194,0.4872,0.6265,0.6611,0.5426
LeafHorizWidth,Y02,control,5.3068,4.9156,NA,4.7285,5.4259,4.6095
LeafPerimeter,Y02,control,57.9927,64.596,NA,59.4493,63.6055,59.0026
LeafSucculence,Y02,control,12.37069662,12.35637492,9.938887718,11.7637535,13.49243286,13.57975244
LeafVertLength,Y02,control,8.1905,7.9366,NA,7.5474,8.2074,8.4951
LK,Y02,control,119.2226033,119.8485075,NA,114.6920518,111.5574379,NA
LNa,Y02,control,10.04409603,9.642696965,11.08326908,10.69503383,11.46138061,9.831460674
RDM,Y02,control,10.12,12.79,7.13,6.16,8.51,8.53
RFM,Y02,control,211.16,NA,200.45,NA,228.47,214.15
RK,Y02,control,48.99522483,37.67699425,33.88164701,32.36599025,40.68921622,NA
RL,Y02,control,12.5,16,16.5,21,21,22.5
RNa,Y02,control,6.590728213,6.150988364,8.664390648,9.782529639,8.660665576,8.632428752
SDM,Y02,control,60.43,67.43,58.58,NA,63.42,61.36
SFM,Y02,control,1223.6,1397.95,1116.96,1045.85,1402.73,1279.96
SL,Y02,control,NA,4,4,4.5,4,4
ST,Y02,control,2.8,2.57,NA,2.36,2.57,2.81
TDM,Y02,control,87.17,98.66,71.06,62.46,91.77,89.79
TFM,Y02,control,1434.76,1696.06,1317.41,1189.5,1631.2,1494.11
