Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
TDM,Y35,T0,NA,10.18,9.99,9.61,9.71,10.4
TFM,Y35,T0,NA,154.59,152.85,159.07,151.5,160.04
WC,Y35,T0,NA,144.41,142.86,149.46,141.79,149.64
WCn,Y35,T0,0.934960798,0.934148393,0.934641806,NA,0.935907591,0.935016246
dGP,Y36,control,2067460,2027480,2452300,2049062,2618869,3040968
GPF,Y36,control,2243954,2208686,2606529,2226859,2878293,3257771
GPI,Y36,control,176494,181206,154229,177797,259424,216803
L4A,Y36,control,15.3709,15.5238,16.9912,14.987,23.3644,26.7839
L4DM,Y36,control,15.97,17.56,18.17,16.11,19.72,23.15
L4FM,Y36,control,194.46,196.05,222.12,195.31,276.15,322.98
LeafElongationFactor,Y36,control,0.7254,0.5084,0.7017,0.5997,0.6268,0.7205
LeafHorizWidth,Y36,control,5.647,4.4224,5.7831,4.8306,6.4805,6.9737
LeafPerimeter,Y36,control,41.329,44.6113,42.7468,37.6001,59.5658,59.3133
LeafSucculence,Y36,control,11.61220228,11.49782914,12.00327228,11.95702943,10.97524439,11.19441157
LeafVertLength,Y36,control,7.7843,8.6981,8.2412,8.0551,10.3396,9.6796
LK,Y36,control,83.478066,77.03512802,99.28904143,69.47544643,75.06921967,84.88143281
LNa,Y36,control,6.44293798,3.837750014,7.918607502,4.408482143,8.910813867,8.221325418
RDM,Y36,control,15.6,19.89,13.92,17.19,16.55,14.73
RFM,Y36,control,310.42,395.76,301.74,388.22,295.42,320.37
RK,Y36,control,76.99613323,76.4892117,77.82641929,80.58647549,67.77351454,NA
RL,Y36,control,19.7,15.5,17.5,18.2,20,NA
RNa,Y36,control,12.87226104,8.447069466,8.529636578,7.68131957,15.40144153,9.357413951
SDM,Y36,control,63.06,63.71,61.27,67.66,85.01,85.82
SFM,Y36,control,1445.21,1451.3,1409.76,1503.38,2195.51,2103.29
SL,Y36,control,8.9,9.4,9.5,9,11,10
ST,Y36,control,2.84,2.8,2.87,3.21,3.32,3.17
TDM,Y36,control,94.63,101.16,93.36,100.96,121.28,123.7
TFM,Y36,control,1755.63,1847.06,1711.5,1891.6,2490.93,2423.66
WC,Y36,control,1661,1745.9,1618.14,1790.64,2369.65,2299.96
WCn,Y36,control,0.946099121,0.945231882,0.945451358,0.946627194,0.951311358,0.948961488
dGP,Y36,salt,831077,401702,570717,640604,704304,796015
GPF,Y36,salt,1026717,610223,742116,859666,885132,1047566
GPI,Y36,salt,195640,208521,171399,219062,180828,251551
L4A,Y36,salt,4.542,3.4805,3.8889,4.2634,4.4401,4.7798
L4DM,Y36,salt,3.29,2.54,3.07,3.29,3.69,NA
L4FM,Y36,salt,45.2,32.19,38.66,41.75,46.97,50.47
LeafElongationFactor,Y36,salt,0.897,0.7778,0.7374,0.8193,0.7212,0.8508
LeafHorizWidth,Y36,salt,2.8235,2.6194,2.6704,2.9256,2.7214,3.2827
LeafPerimeter,Y36,salt,12.7988,13.0124,13.7504,14.8575,13.1678,13.9447
LeafSucculence,Y36,salt,9.227212682,8.518890964,9.151688138,9.02096918,9.747528209,9.504581782
LeafVertLength,Y36,salt,3.1476,3.3676,3.6214,3.5706,3.7737,3.8583
LK,Y36,salt,40.6824147,46.37436762,40.6012925,30.94123765,37.19963031,49.30662558
LNa,Y36,salt,208.3035075,290.8937605,249.9297555,191.4976599,187.5,208.342505
RDM,Y36,salt,4.75,4.06,4.66,5.32,5.16,NA
RFM,Y36,salt,78.48,NA,72.32,78.5,76.22,NA
RK,Y36,salt,73.57927574,84.1628155,62.51847473,61.42388631,73.81086406,66.1991105
RL,Y36,salt,11.8,17.5,14.7,13.8,14.5,11.5
RNa,Y36,salt,170.8938017,174.1912549,161.0996157,160.221372,170.2786378,163.0744669
SDM,Y36,salt,22.89,19.51,19.35,24.36,23.31,NA
SFM,Y36,salt,438.81,395.27,388.26,482.08,455.6,579.26
SL,Y36,salt,6.4,NA,6.2,6.1,6,6
ST,Y36,salt,1.99,2.09,1.74,1.98,1.98,1.84
TDM,Y36,salt,30.93,26.11,27.08,32.97,32.16,NA
TFM,Y36,salt,517.29,455.59,460.58,560.58,531.82,673.95
WC,Y36,salt,486.36,429.48,433.5,527.61,499.66,629
WCn,Y36,salt,0.94020762,0.942689699,0.941204568,0.941185915,0.939528412,NA
dGP,Y36,T0,NA,NA,NA,NA,NA,NA
GPF,Y36,T0,NA,NA,NA,NA,NA,NA
GPI,Y36,T0,198672,194219,NA,214450,211077,205013
L4A,Y36,T0,NA,NA,NA,NA,NA,NA
L4DM,Y36,T0,NA,NA,NA,NA,NA,NA
L4FM,Y36,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y36,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y36,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y36,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y36,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y36,T0,NA,NA,NA,NA,NA,NA
LK,Y36,T0,NA,NA,NA,NA,NA,NA
LNa,Y36,T0,NA,NA,NA,NA,NA,NA
RDM,Y36,T0,0.62,0.69,0.56,0.73,NA,0.61
RFM,Y36,T0,16.46,8.25,13.61,15.55,24.96,19.39
RK,Y36,T0,NA,NA,NA,NA,NA,NA
RL,Y36,T0,9,8.7,9.5,12.4,10.6,9.7
RNa,Y36,T0,NA,NA,NA,NA,NA,NA
SDM,Y36,T0,4.78,5.08,3.94,5.62,5.53,5.29
SFM,Y36,T0,72.55,76.4,66.26,83.77,91.74,84.2
SL,Y36,T0,3.3,3.5,3.8,3.5,3.3,3.7
ST,Y36,T0,0.85,0.87,0.86,0.92,0.91,0.91
TDM,Y36,T0,5.4,5.77,4.5,6.35,6.55,5.9
TFM,Y36,T0,89.01,84.65,79.87,99.32,116.7,103.59
WC,Y36,T0,83.61,78.88,75.37,92.97,110.15,97.69
WCn,Y36,T0,0.939332659,0.931836976,0.943658445,0.936065244,0.943873179,0.943044695
dGP,Y37,control,1532437,4894504,4398018,3220690,2991205,3466943
GPF,Y37,control,1937886,5337975,5010132,3717050,3407021,4043854
GPI,Y37,control,405449,443471,612114,496360,415816,576911
L4A,Y37,control,NA,34.9995,32.9769,31.4125,31.1926,NA
L4DM,Y37,control,NA,34.19,27.81,27.93,28.51,38.95
L4FM,Y37,control,NA,436.01,307.64,318.94,304.01,381.81
LeafElongationFactor,Y37,control,NA,0.6486,NA,0.6485,0.6312,0.6346
LeafHorizWidth,Y37,control,NA,8.1984,7.0758,7.3309,7.7221,8.0113
LeafPerimeter,Y37,control,NA,76.2101,80.9878,77.589,79.201,NA
LeafSucculence,Y37,control,9.235579987,NA,8.485636916,9.264146439,8.832223027,8.205965277
LeafVertLength,Y37,control,NA,12.641,11.7611,11.3042,12.2349,12.6241
LK,Y37,control,113.5791819,72.79378826,92.73487475,58.24542112,70.41742287,108.2074316
LNa,Y37,control,11.21414708,10.72619581,9.577243326,11.30545342,13.3938294,8.341597153
RDM,Y37,control,18.19,32.25,17.83,18.24,21.78,27.33
RFM,Y37,control,347.99,750.62,381.2,527.56,537.03,481.27
RK,Y37,control,83.99029715,94.93714938,54.62751465,31.61077515,42.40659874,105.9611402
RL,Y37,control,19.7,24,18,24,21.9,14.8
RNa,Y37,control,9.323832626,NA,10.49894047,9.650121731,10.29597283,10.03436578
SDM,Y37,control,61.52,151.49,97.98,117.09,119.04,149.56
SFM,Y37,control,1066.44,3160.17,2016.63,2346.66,2233.71,2764.6
SL,Y37,control,5.9,8.2,7.5,7.1,7.5,8.3
ST,Y37,control,2.39,2.92,2.69,3.02,2.96,3.25
TDM,Y37,control,95.4,217.93,143.62,163.26,169.33,215.84
TFM,Y37,control,1414.43,3910.79,2397.83,2874.22,2770.74,3245.87
WC,Y37,control,1319.03,3692.86,2254.21,2710.96,2601.41,3030.03
WCn,Y37,control,0.932552336,0.944274686,0.940104178,0.943198503,0.938886362,0.93350319
dGP,Y37,salt,797108,728322,953386,882248,988665,1235206
GPF,Y37,salt,1183369,1198770,1681644,1398540,1470739,1783195
GPI,Y37,salt,386261,470448,NA,516292,482074,547989
L4A,Y37,salt,5.746,6.0117,8.9666,9.995,8.9321,9.1977
L4DM,Y37,salt,5.01,5.68,9.4,10.02,10.11,9.92
L4FM,Y37,salt,50.93,53.1,91.09,97.99,89.47,90.12
LeafElongationFactor,Y37,salt,0.748,0.6588,0.7824,0.7245,0.6381,0.7166
LeafHorizWidth,Y37,salt,3.2657,2.9766,4.4224,4.3033,3.2827,3.759
LeafPerimeter,Y37,salt,21.8686,23.5,27.9476,30.9191,29.5401,28.2972
LeafSucculence,Y37,salt,7.991646363,7.887951827,9.110476658,8.8014007,8.884808724,8.719571197
LeafVertLength,Y37,salt,4.366,4.5183,5.6521,5.9398,5.1444,5.2459
LK,Y37,salt,66.20209059,73.91396035,45.90525156,60.02046152,35.47127016,60.28678304
LNa,Y37,salt,177.3736934,226.4867145,213.0003672,243.8331249,157.2580645,221.6334165
RDM,Y37,salt,6.54,6.24,11.9,12.69,12.05,9.33
RFM,Y37,salt,109.49,99.27,185.04,213.76,190.2,152.41
RK,Y37,salt,51.82127246,61.43179619,55.85075661,54.90625155,50.96828515,46.9667319
RL,Y37,salt,18,13.5,12.9,24.1,16.5,17.5
RNa,Y37,salt,197.4259349,213.640761,195.5065265,198.6870244,184.675835,171.5823316
SDM,Y37,salt,35.18,33.94,52.13,53.27,47.8,49.38
SFM,Y37,salt,616.03,555.35,781.27,822.18,748.56,780.52
SL,Y37,salt,6.5,4.5,5.4,4.6,4.6,5
ST,Y37,salt,1.24,1.14,1.92,1.93,1.91,1.56
TDM,Y37,salt,46.73,45.86,73.43,75.98,69.96,68.63
TFM,Y37,salt,725.52,654.62,966.31,1035.94,938.76,932.93
WC,Y37,salt,678.79,608.76,892.88,959.96,868.8,864.3
WCn,Y37,salt,0.935591024,0.92994409,0.924009893,0.926655984,0.92547616,0.926436067
dGP,Y37,T0,NA,NA,NA,NA,NA,NA
GPF,Y37,T0,NA,NA,NA,NA,NA,NA
GPI,Y37,T0,356025,447758,701562,639962,544345,532518
L4A,Y37,T0,NA,NA,NA,NA,NA,NA
L4DM,Y37,T0,NA,NA,NA,NA,NA,NA
L4FM,Y37,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y37,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y37,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y37,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y37,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y37,T0,NA,NA,NA,NA,NA,NA
LK,Y37,T0,NA,NA,NA,NA,NA,NA
LNa,Y37,T0,NA,NA,NA,NA,NA,NA
RDM,Y37,T0,NA,2.89,2.6,2.69,2.41,NA
RFM,Y37,T0,NA,54.89,49.21,48.74,53.29,44.07
RK,Y37,T0,NA,NA,NA,NA,NA,NA
RL,Y37,T0,9.3,10.5,11.9,14.6,11.6,14.4
RNa,Y37,T0,NA,NA,NA,NA,NA,NA
SDM,Y37,T0,9.5,13.88,14.83,12.73,12.63,NA
SFM,Y37,T0,NA,221.17,260.55,211.77,193.73,217.72
SL,Y37,T0,3.3,2.9,3.2,3,2.6,2
ST,Y37,T0,1.02,1.57,1.43,1.28,1.26,1.31
TDM,Y37,T0,NA,16.77,17.43,15.42,15.04,17.72
TFM,Y37,T0,NA,276.06,309.76,260.51,247.02,261.79
WC,Y37,T0,NA,259.29,292.33,245.09,231.98,244.07
WCn,Y37,T0,0.935485821,0.939252336,0.94373063,0.940808414,0.939114242,0.932312159
dGP,Y38,control,2709427,2327993,1643314,1460478,1628088,2088983
GPF,Y38,control,3063734,2592877,1883974,1707983,1862766,2348029
GPI,Y38,control,NA,264884,240660,247505,234678,259046
L4A,Y38,control,16.4719,15.9742,16.001,NA,15.5796,NA
L4DM,Y38,control,19.32,13.85,13.44,11.49,12.4,16.19
L4FM,Y38,control,204.32,161.21,161.29,144.95,163.88,202.39
LeafElongationFactor,Y38,control,0.52,0.5735,0.6802,0.6106,0.7156,0.6681
LeafHorizWidth,Y38,control,4.5584,4.6775,5.698,4.9496,5.2558,5.7661
LeafPerimeter,Y38,control,50.8261,45.9708,47.3885,45.0579,41.9893,51.4865
LeafSucculence,Y38,control,11.23124837,9.224875111,9.240047497,9.377656921,9.722971065,10.06943693
LeafVertLength,Y38,control,8.7658,8.1566,8.3766,8.1058,7.3443,8.6304
LK,Y38,control,105.9459459,108.577633,106.1887048,113.1425146,102.3237391,NA
LNa,Y38,control,6.027027027,8.855863192,9.232330064,5.020230781,7.195669395,7.08915145
RDM,Y38,control,15.13,12.73,13.15,10.71,9.15,14.59
RFM,Y38,control,302.26,241.19,248.37,203.51,205.14,321.46
RK,Y38,control,44.40497336,72.66042196,70.99736417,67.94605809,47.19628552,72.99507935
RL,Y38,control,19,20.5,20.8,17.5,23.3,22.2
RNa,Y38,control,10.63977989,10.00175085,12.73276082,10.34751037,9.260676565,11.94316812
SDM,Y38,control,NA,61.52,55.94,55.04,50.69,67.51
SFM,Y38,control,1650.45,1291.58,1138.2,1117.31,1043.98,1337.55
SL,Y38,control,7,6.5,5.4,4.8,5,5.1
ST,Y38,control,2.3,2.67,2.45,2.22,2.21,2.52
TDM,Y38,control,124.77,88.1,82.53,77.24,72.24,98.29
TFM,Y38,control,1952.71,1532.77,1386.57,1320.82,1249.12,1659.01
WC,Y38,control,1827.94,1444.67,1304.04,1243.58,1176.88,1560.72
WCn,Y38,control,NA,0.942522361,0.940479024,0.941521176,0.942167286,0.940753823
dGP,Y38,salt,150065,96994,359290,-50059,4208,98129
GPF,Y38,salt,377141,314517,565497,207850,241988,397459
GPI,Y38,salt,227076,217523,206207,257909,237780,299330
L4A,Y38,salt,1.1649,2.0223,3.3441,1.4924,0.9553,1.029
L4DM,Y38,salt,1.48,2.69,3.23,1.81,1.57,0.87
L4FM,Y38,salt,12.35,25.94,34.27,19.83,12.82,12.2
LeafElongationFactor,Y38,salt,0.8167,0.8124,0.6939,0.7782,0.7487,0.7866
LeafHorizWidth,Y38,salt,1.5478,2.0071,2.3132,1.6329,1.2417,1.2247
LeafPerimeter,Y38,salt,7.1471,11.0314,14.8575,7.5938,6.9335,6.5839
LeafSucculence,Y38,salt,9.331273071,11.49681056,9.282019078,12.07451085,11.77640532,11.01068999
LeafVertLength,Y38,salt,1.8953,2.4707,3.3337,2.0984,1.6584,1.5569
LK,Y38,salt,100.9659614,81.07526882,58.79510309,94.06215316,124.2222222,61.34157105
LNa,Y38,salt,234.5906164,222.5806452,211.6623711,281.3540511,267.1111111,164.1659312
RDM,Y38,salt,4.14,3.54,4.74,3.64,3.48,3.67
RFM,Y38,salt,60.69,44.33,NA,56.23,49.96,51.76
RK,Y38,salt,38.99204244,40.45109095,42.54590299,32.99106294,39.26419966,29.94385527
RL,Y38,salt,22,13.3,17.8,16.1,14,13
RNa,Y38,salt,197.1706454,229.8357441,198.6845711,205.3622362,201.6996558,219.9001871
SDM,Y38,salt,17.01,16.7,19.47,13.43,13.68,18.63
SFM,Y38,salt,245.83,227.89,315.82,172.9,208.47,269.04
SL,Y38,salt,2.6,3,2.7,3.1,2.5,3
ST,Y38,salt,1.21,1.34,1.43,1.13,1.27,1.25
TDM,Y38,salt,22.63,22.93,27.44,18.88,18.73,23.17
TFM,Y38,salt,306.52,272.22,393.54,229.13,258.43,320.8
WC,Y38,salt,283.89,249.29,366.1,210.25,239.7,297.63
WCn,Y38,salt,0.926171212,0.915766659,0.930273924,0.917601362,0.927523894,0.927774314
dGP,Y38,T0,NA,NA,NA,NA,NA,NA
GPF,Y38,T0,NA,NA,NA,NA,NA,NA
GPI,Y38,T0,204506,218320,NA,NA,NA,NA
L4A,Y38,T0,NA,NA,NA,NA,NA,NA
L4DM,Y38,T0,NA,NA,NA,NA,NA,NA
L4FM,Y38,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y38,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y38,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y38,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y38,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y38,T0,NA,NA,NA,NA,NA,NA
LK,Y38,T0,NA,NA,NA,NA,NA,NA
LNa,Y38,T0,NA,NA,NA,NA,NA,NA
RDM,Y38,T0,0.92,1.04,0.74,0.9,0.93,0.68
RFM,Y38,T0,23.36,20.76,16.64,15.09,28.68,23.61
RK,Y38,T0,NA,NA,NA,NA,NA,NA
RL,Y38,T0,8.9,13,7.2,8.9,8.5,13.3
RNa,Y38,T0,NA,NA,NA,NA,NA,NA
SDM,Y38,T0,5.4,5.67,6.35,7.41,7.34,6.56
SFM,Y38,T0,74.09,75.15,95.69,100.3,102.58,95.47
SL,Y38,T0,1.8,2.1,1.9,2.5,2.2,2.1
ST,Y38,T0,0.81,0.71,0.91,0.72,1.06,0.93
TDM,Y38,T0,6.32,6.71,7.09,8.31,8.27,7.24
TFM,Y38,T0,97.45,95.91,112.33,115.39,131.26,119.08
WC,Y38,T0,91.13,89.2,105.24,107.08,122.99,111.84
WCn,Y38,T0,0.935146229,0.930038578,0.9368824,0.927983361,0.936995277,0.939200537
dGP,Y39,control,2608207,2571082,1987356,2302325,2238962,1814258
GPF,Y39,control,2947738,2905148,2355040,2665342,2581225,2272364
GPI,Y39,control,339531,334066,367684,363017,342263,NA
L4A,Y39,control,14.443,19.012,15.8335,18.3123,18.0268,23.6908
L4DM,Y39,control,13.83,16.04,14.18,14.4,15.88,NA
L4FM,Y39,control,143.02,194.35,172.87,177.34,189.9,NA
LeafElongationFactor,Y39,control,0.5452,0.6427,NA,0.664,0.6141,0.6671
LeafHorizWidth,Y39,control,4.7795,5.4599,5.1367,6.1573,5.1027,6.3784
LeafPerimeter,Y39,control,52.846,52.9819,NA,57.41,51.0786,63.2365
LeafSucculence,Y39,control,8.944817559,9.378813381,10.02242082,8.897844618,9.65340493,8.842251
LeafVertLength,Y39,control,8.7658,8.4951,NA,9.2735,8.3089,9.5612
LK,Y39,control,108.3675207,87.48808255,106.181864,85.92119799,99.41386048,117.1949589
LNa,Y39,control,8.127564053,7.178509338,7.467389249,9.205842641,7.4704057,10.12029788
RDM,Y39,control,10.28,14.61,11.45,12.95,15.32,18.77
RFM,Y39,control,178.24,362.96,287.42,257.84,362.66,382.15
RK,Y39,control,43.46272922,38.03645759,34.96756894,65.13128343,59.59578511,83.38378557
RL,Y39,control,18,18.2,20,24.2,20.5,16.9
RNa,Y39,control,9.913074542,NA,10.61709606,12.2912328,11.01226464,11.17287688
SDM,Y39,control,69.77,71.52,70.24,72.09,77.17,79.76
SFM,Y39,control,1322.61,1359,1259.17,1404.45,1476.73,1508.48
SL,Y39,control,7,5.4,5.9,6,6.6,6.6
ST,Y39,control,NA,2.58,2.6,2.58,2.5,2.68
TDM,Y39,control,93.88,102.17,95.87,99.44,108.37,118.86
TFM,Y39,control,1500.85,1721.96,1546.59,1662.29,1839.39,1890.63
WC,Y39,control,1406.97,1619.79,1450.72,1562.85,1731.02,1771.77
WCn,Y39,control,0.937448779,0.94066645,0.938012014,0.94017891,0.941083729,0.937132067
dGP,Y39,salt,401358,346798,NA,411125,383819,NA
GPF,Y39,salt,802513,785752,548673,746625,655862,NA
GPI,Y39,salt,401155,438954,340633,335500,272043,460253
L4A,Y39,salt,3.9232,3.9223,4.1244,3.4624,3.0784,NA
L4DM,Y39,salt,4.53,3.61,4.07,3.58,3.12,4.58
L4FM,Y39,salt,39.89,35.76,39.88,31.51,27.03,NA
LeafElongationFactor,Y39,salt,0.6367,0.6894,0.6729,0.6655,0.7592,0.7575
LeafHorizWidth,Y39,salt,2.3813,2.6364,2.6874,2.4663,2.4153,NA
LeafPerimeter,Y39,salt,17.0133,18.0426,19.0914,18.3533,17.0327,NA
LeafSucculence,Y39,salt,9.013050571,8.196721311,8.682475027,8.066658965,7.76702183,NA
LeafVertLength,Y39,salt,3.7399,3.8245,3.9937,3.706,NA,NA
LK,Y39,salt,70.84276018,67.18506998,65.90337894,NA,89.50230029,40.70672478
LNa,Y39,salt,223.5576923,202.9548989,223.6805362,NA,188.2057716,235.6008717
RDM,Y39,salt,5.61,5.69,5.23,5.72,4.89,4.95
RFM,Y39,salt,NA,73.52,73.01,70.3,66.07,70.31
RK,Y39,salt,38.20474777,46.36591479,39.09707878,40.72468256,40.78130108,47.35312118
RL,Y39,salt,17.5,13.5,12.5,12.4,16.6,12.5
RNa,Y39,salt,200.2967359,224.4582043,217.6158159,224.9148343,190.8303367,232.5581395
SDM,Y39,salt,29.47,27.73,22.49,27.16,25.53,28.82
SFM,Y39,salt,420.12,443.34,314,406.39,385.63,491.93
SL,Y39,salt,3.6,4.4,3.6,3.9,4.6,4
ST,Y39,salt,1.53,1.56,1.43,1.46,1.46,1.5
TDM,Y39,salt,39.61,37.03,31.79,36.46,33.54,38.35
TFM,Y39,salt,506.61,516.86,387.01,476.69,451.7,562.24
WC,Y39,salt,467,479.83,355.22,440.23,418.16,523.89
WCn,Y39,salt,0.921813624,0.928355841,0.91785742,0.923514234,0.925747177,0.931790694
dGP,Y39,T0,NA,NA,NA,NA,NA,NA
GPF,Y39,T0,NA,NA,NA,NA,NA,NA
GPI,Y39,T0,312453,366681,286108,440190,310397,413946
L4A,Y39,T0,NA,NA,NA,NA,NA,NA
L4DM,Y39,T0,NA,NA,NA,NA,NA,NA
L4FM,Y39,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y39,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y39,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y39,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y39,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y39,T0,NA,NA,NA,NA,NA,NA
LK,Y39,T0,NA,NA,NA,NA,NA,NA
LNa,Y39,T0,NA,NA,NA,NA,NA,NA
RDM,Y39,T0,0.98,NA,1.09,1.45,1.29,1.14
RFM,Y39,T0,22.58,23.18,20.71,27.82,26.21,27.6
RK,Y39,T0,NA,NA,NA,NA,NA,NA
RL,Y39,T0,12.1,10.6,10.4,9.5,11.5,12.5
RNa,Y39,T0,NA,NA,NA,NA,NA,NA
SDM,Y39,T0,7.78,8.25,6.59,NA,8.33,8.92
SFM,Y39,T0,113.69,121,97.84,151.55,122.46,134.6
SL,Y39,T0,1.9,2.1,2.4,3.3,3.3,2.6
ST,Y39,T0,1,1.02,0.99,1.11,1.02,1.12
TDM,Y39,T0,8.76,8.29,7.68,12.09,9.62,10.06
TFM,Y39,T0,136.27,144.18,118.55,179.37,148.67,162.2
WC,Y39,T0,127.51,135.89,110.87,167.28,139.05,152.14
WCn,Y39,T0,0.935715858,NA,0.935217208,0.932597424,0.935292931,0.937977805
dGP,Y40,control,1040818,780990,816708,1081079,708256,1037038
GPF,Y40,control,1312608,1116191,1137174,1366643,956951,1299776
GPI,Y40,control,271790,335201,320466,285564,248695,262738
L4A,Y40,control,9.3656,9.059,12.2744,11.0546,8.7977,11.6665
L4DM,Y40,control,8.23,7.75,11.67,9.13,7.49,9.47
L4FM,Y40,control,99.01,92.89,140.89,113.4,90.6,116.62
LeafElongationFactor,Y40,control,0.5903,0.5468,0.5184,0.6087,0.4855,0.6364
LeafHorizWidth,Y40,control,3.776,3.5719,3.8951,4.3883,3.1467,4.6095
LeafPerimeter,Y40,control,41.3873,43.7761,53.2733,50.3212,42.9798,50.7873
LeafSucculence,Y40,control,9.692918767,9.398388343,NA,9.432272538,9.446787228,9.18441692
LeafVertLength,Y40,control,6.3967,6.5321,7.5136,7.209,6.4813,7.2428
LK,Y40,control,92.53139458,113.3427296,126.1414642,137.1439532,128.1434244,130.6579561
LNa,Y40,control,11.78673717,8.397932817,11.06639839,9.542533806,10.88918301,9.846010266
RDM,Y40,control,10.09,8.26,8.33,9.58,6.38,8.52
RFM,Y40,control,226.29,188.12,188.36,231.05,158.68,188.69
RK,Y40,control,87.65032377,80.06227065,67.48875187,55.3122319,54.82600131,86.30737637
RL,Y40,control,15.2,19.5,13.7,21,13.3,18.5
RNa,Y40,control,NA,7.422439675,7.19324557,7.066419831,NA,7.132152967
SDM,Y40,control,37.29,41.49,NA,41.16,NA,40.12
SFM,Y40,control,767.68,760.84,1015.83,895.01,608.43,834.74
SL,Y40,control,5.5,6.2,6.5,6.4,5.9,6.1
ST,Y40,control,2.3,2.26,2.49,2.28,2.21,2.41
TDM,Y40,control,55.61,57.5,NA,59.87,NA,58.11
TFM,Y40,control,993.97,948.96,1204.19,1126.06,767.11,1023.43
WC,Y40,control,938.36,891.46,1134.68,1066.19,722.73,965.32
WCn,Y40,control,0.944052637,0.939407351,0.942276551,0.946832318,0.942146498,0.943220347
dGP,Y40,salt,12071,4891,293470,378229,300823,NA
GPF,Y40,salt,348880,367447,496210,699402,599995,NA
GPI,Y40,salt,336809,362556,NA,321173,299172,318913
L4A,Y40,salt,2.7816,4.0472,2.9938,3.1285,4.2749,3.536
L4DM,Y40,salt,2.43,3.8,2.9,3.02,4.35,NA
L4FM,Y40,salt,30.55,51.08,37.5,34.63,60.15,34.88
LeafElongationFactor,Y40,salt,0.6453,0.5251,0.7401,0.606,0.5923,0.5693
LeafHorizWidth,Y40,salt,1.922,2.1772,2.5173,2.0921,2.8065,2.1772
LeafPerimeter,Y40,salt,12.5075,21.4996,17.7707,14.7798,25.7918,16.6248
LeafSucculence,Y40,salt,10.10928962,11.68215062,11.55721825,10.10388365,13.05293691,NA
LeafVertLength,Y40,salt,2.9783,4.146,3.4014,3.4522,4.7383,3.8245
LK,Y40,salt,53.3428165,63.24027073,28.61271676,77.19076242,32.61648746,NA
LNa,Y40,salt,179.7652916,218.5913706,239.3063584,175.5773489,236.2903226,NA
RDM,Y40,salt,3.04,3.38,2.99,4.08,4.51,NA
RFM,Y40,salt,45.36,58.08,39.18,61.58,59.31,54.53
RK,Y40,salt,54.22967864,46.43510055,58.99419729,53.82608696,45.0729927,NA
RL,Y40,salt,12.5,10,8,12,10,10.5
RNa,Y40,salt,196.7155009,180.0731261,221.0555402,200.4347826,184.3065693,NA
SDM,Y40,salt,15.86,24.87,16.18,22.94,19.34,27.35
SFM,Y40,salt,245.44,320.82,276.01,379.43,351.02,356.92
SL,Y40,salt,5,5,4.5,5.5,5,6
ST,Y40,salt,NA,1.39,1.45,1.4,1.39,1.35
TDM,Y40,salt,21.33,32.05,22.07,30.04,28.2,27.35
TFM,Y40,salt,290.8,378.9,315.19,441.01,410.33,411.45
WC,Y40,salt,269.47,346.85,293.12,410.97,382.13,384.1
WCn,Y40,salt,0.926650619,NA,0.929978743,0.931883631,0.931274828,0.933527768
dGP,Y40,T0,NA,NA,NA,NA,NA,NA
GPF,Y40,T0,NA,NA,NA,NA,NA,NA
GPI,Y40,T0,302835,310458,339316,274922,232167,218710
L4A,Y40,T0,NA,NA,NA,NA,NA,NA
L4DM,Y40,T0,NA,NA,NA,NA,NA,NA
L4FM,Y40,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y40,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y40,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y40,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y40,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y40,T0,NA,NA,NA,NA,NA,NA
LK,Y40,T0,NA,NA,NA,NA,NA,NA
LNa,Y40,T0,NA,NA,NA,NA,NA,NA
RDM,Y40,T0,1.3,1.12,1.17,1.06,1.04,NA
RFM,Y40,T0,NA,27.36,22.13,23.11,25.62,19.26
