Trait,AccessionNumber,AccessionName,rep1,rep2,rep3,rep4,rep5,rep6
TDM,Y03,LA0421,0.280466526,0.430615551,0.267888615,0.343031536,0.45307393,0.43175706
WC,Y03,LA0421,0.311143955,0.477426964,0.230131633,0.325620864,0.317705829,0.381074702
WCn,Y03,LA0421,1.062048911,1.086861792,0.667637399,0.783526255,0.275926641,0.329286282
GPI,Y03,LA0421,1.02190808,1.419200678,1.134192528,1.11290087,1.286488332,0.817159142
GPF,Y03,LA0421,0.268832498,0.402139976,0.274390314,0.401700638,0.462018656,0.627882628
dGP,Y03,LA0421,0.215595922,0.284699767,0.223591087,0.338583698,0.397460431,0.600653583
L4FM,Y03,LA0421,0.182476785,0.399137246,0.264596513,0.272350443,0.300148285,0.558488533
L4DM,Y03,LA0421,0.166666667,0.366688611,0.317572336,0.186995325,0.094224924,0.440899202
L4A,Y03,LA0421,NA,0.299374725,0.318665348,0.310206013,0.269598252,NA
RNa,Y03,LA0421,26.5367517,29.86655094,28.25657399,24.34141508,27.31689395,NA
RK,Y03,LA0421,0.634803249,1.225338643,1.819957575,1.178587807,1.542991737,0.968359556
LNa,Y03,LA0421,27.51069005,21.6037998,28.74976256,21.17503096,20.0497266,13.41247951
LK,Y03,LA0421,0.51876955,0.396695675,0.680389455,0.547857721,0.372782199,0.238210804
LeafSucculence,Y03,LA0421,1.041801782,1.343463093,0.8181154,0.915634647,1.394624196,1.174003291
LeafPerimeter,Y03,LA0421,0.310556969,0.395223778,0.403625772,0.433356904,0.338626377,0.46577605
LeafVertLength,Y03,LA0421,0.516003027,0.555127399,0.506395437,0.490672958,0.439787552,0.606980195
LeafHorizWidth,Y03,LA0421,0.479414155,0.545744543,0.577291864,0.518839147,0.513506356,NA
LeafElongationFactor,Y03,LA0421,0.928993163,0.98315998,1.139914163,1.057341577,1.167608286,1.141097046
DG,Y04,LA0422,4,4,4,4,4,4
DL4,Y04,LA0422,11,11,11,11,12,12
DH,Y04,LA0422,11,11,11,11,11,11
LN,Y04,LA0422,0.666666667,0.666666667,0.666666667,0.666666667,0.5,0.5
RL,Y04,LA0422,0.888888889,0.483333333,0.409090909,0.666666667,0.268456376,0.888888889
SL,Y04,LA0422,0.583333333,0.347826087,0.457142857,0.465116279,0.615384615,0.326923077
ST,Y04,LA0422,0.703703704,0.471794872,0.128440367,NA,0.083832335,-0.35978836
RFM,Y04,LA0422,0.300505902,0.086255817,0.177581815,0.228345479,0.160810326,0.096923378
SFM,Y04,LA0422,NA,0.208228894,0.269616047,0.277626754,0.298869241,0.208290737
TFM,Y04,LA0422,NA,0.182097144,0.254126044,0.269258621,0.27493816,0.192846
RDM,Y04,LA0422,0.692532943,0.210710128,0.385176185,0.533672173,0.323899371,0.290260366
SDM,Y04,LA0422,0.466653355,0.238396897,0.338093657,0.288921665,0.306783303,0.246090644
TDM,Y04,LA0422,NA,0.231038099,0.315734388,0.29302378,0.286921089,0.241015589
WC,Y04,LA0422,NA,0.179212928,0.250421332,0.267677449,0.2741388,0.189867719
WCn,Y04,LA0422,1.199842281,0.171828716,0.120724514,0.547267478,0.590367346,-0.126913883
GPI,Y04,LA0422,1.080307438,0.786718133,1.017460966,0.991616037,1.394322051,0.835073982
GPF,Y04,LA0422,0.396585541,0.227481955,0.270137912,0.196922032,0.336396184,0.231446723
dGP,Y04,LA0422,0.343971297,0.190921395,0.237010298,0.156995939,0.265032939,0.202958472
L4FM,Y04,LA0422,NA,0.229602278,0.215879483,0.255046111,0.209043561,0.197754092
L4DM,Y04,LA0422,NA,0.219989955,0.206385405,0.210181452,0.209322779,0.199061033
L4A,Y04,LA0422,NA,0.220962396,0.189144775,0.206894534,0.193829705,0.170707639
RNa,Y04,LA0422,23.74668804,17.47122819,15.61003463,20.85446095,21.68577922,16.81918826
RK,Y04,LA0422,NA,NA,1.303202146,1.399097025,1.524664286,1.327601956
LNa,Y04,LA0422,14.27812127,14.41560209,23.79762876,24.80203395,16.69368218,25.40557535
LK,Y04,LA0422,0.421731994,0.491034395,0.294455411,0.203931277,0.350438335,0.287364792
LeafSucculence,Y04,LA0422,NA,1.043328827,1.145893986,1.25321796,1.078348842,1.157761747
LeafPerimeter,Y04,LA0422,NA,0.32197337,0.297590998,0.290908441,0.317725831,0.287014906
LeafVertLength,Y04,LA0422,NA,0.446650495,0.423668986,0.394262234,0.455198195,0.396641109
LeafHorizWidth,Y04,LA0422,0.609511189,0.501465522,0.475640982,0.61354804,0.50803433,0.489431616
LeafElongationFactor,Y04,LA0422,1.015918739,1.122714148,1.122796534,NA,1.116029989,1.233905579
DG,Y05,LA0426,6,6,6,6,6,6
DL4,Y05,LA0426,12,12,12,12,12,NA
DH,Y05,LA0426,11,11,11,11,11,11
LN,Y05,LA0426,0.666666667,0.666666667,0.5,0.5,0.666666667,0.75
RL,Y05,LA0426,0.635416667,1.285714286,0.703389831,0.346320346,NA,1.189873418
SL,Y05,LA0426,0.55,1,0.454545455,0.37037037,1,1.0625
ST,Y05,LA0426,0.472222222,0.456410256,0.344086022,0.344632768,0.44516129,0.401098901
RFM,Y05,LA0426,0.190449945,0.337414384,0.303239396,0.153994225,0.347426296,0.388580961
SFM,Y05,LA0426,0.330984406,0.340135972,0.241469475,0.167292189,0.29334635,0.379565787
TFM,Y05,LA0426,0.299792035,0.339797451,0.249497343,0.165338811,0.300113882,0.38108542
RDM,Y05,LA0426,0.329614604,0.750980392,0.476439791,0.311605723,0.527573529,0.632183908
SDM,Y05,LA0426,0.40138191,0.4604811,0.360134436,0.226514843,0.320150115,0.530530083
TDM,Y05,LA0426,0.371072797,0.5193961,0.355891573,0.24511572,0.336468744,0.513737529
WC,Y05,LA0426,0.295399001,0.330188256,0.243757089,0.160665552,0.297771324,0.372753741
WCn,Y05,LA0426,0.259463456,-1.486191252,-0.392632777,-1.430945344,-0.303070129,NA
GPI,Y05,LA0426,1.023526878,1.162220074,0.723032926,0.868006446,0.974600312,1.483090516
GPF,Y05,LA0426,0.458438977,0.452798319,0.24943841,0.162758516,0.481752452,0.48998162
dGP,Y05,LA0426,0.364448539,0.371037324,0.196421891,0.114311488,0.418485538,0.375508586
L4FM,Y05,LA0426,0.296840496,NA,0.258501784,0.292759706,0.334624506,0.365922729
L4DM,Y05,LA0426,0.318095238,NA,0.268839104,0.2899729,0.293150685,0.380650278
L4A,Y05,LA0426,0.374977506,0.531473949,0.262720095,0.304016745,0.369428851,0.423004394
RNa,Y05,LA0426,20.62011265,16.36792752,19.24540385,NA,16.03667002,18.54542114
RK,Y05,LA0426,3.033117576,1.077638167,1.002538017,2.698730539,1.553547001,1.535004248
LNa,Y05,LA0426,15.28546597,23.60663418,22.33870605,28.76726577,16.6147431,14.6081003
LK,Y05,LA0426,0.400418795,0.370586403,0.504863535,0.222842965,0.307643908,0.369944657
LeafSucculence,Y05,LA0426,0.786072267,1.135104908,0.980622204,0.963801685,0.916427445,0.861821221
LeafPerimeter,Y05,LA0426,0.389965597,0.452982041,0.262869485,0.296852746,0.385568755,0.367487189
LeafVertLength,Y05,LA0426,0.51732561,0.629277812,0.364411448,0.426402497,0.4839424,0.532902578
LeafHorizWidth,Y05,LA0426,0.495456975,0.698726163,0.524677037,0.596414448,0.595915723,0.591245575
LeafElongationFactor,Y05,LA0426,0.957792801,1.110337769,1.43967151,1.398598516,1.231367343,1.109457842
DG,Y06,LA0428,4,4,4,4,4,4
DL4,Y06,LA0428,11,11,12,12,12,12
DH,Y06,LA0428,11,11,11,11,11,11
LN,Y06,LA0428,0.5,0.5,0.5,0.5,0.5,NA
RL,Y06,LA0428,1.192307692,0.36,1.211267606,0.855072464,0.132352941,0.912280702
SL,Y06,LA0428,NA,0.259259259,0.418918919,0.377358491,0.267605634,0.341463415
ST,Y06,LA0428,0.340611354,0.480769231,-0.491071429,-0.362445415,-0.168,-0.524096386
RFM,Y06,LA0428,0.240196273,0.187128713,0.37400504,0.200021467,0.23710595,0.4813885
SFM,Y06,LA0428,0.269416065,0.242650093,0.193446551,0.178159018,0.182109781,0.292844012
TFM,Y06,LA0428,0.264825132,0.237110591,0.214746156,0.180694656,0.188691091,0.314270039
RDM,Y06,LA0428,0.466232227,0.362946912,0.661235574,0.430824373,0.401533019,0.954593453
SDM,Y06,LA0428,0.321764911,0.291485526,0.255182096,0.206674807,0.218873128,0.374414033
TDM,Y06,LA0428,0.329681453,0.312481089,0.279867518,0.22475123,0.226218097,0.424688562
WC,Y06,LA0428,0.261237195,0.232956441,0.211335448,0.178159066,0.186392145,0.30805473
WCn,Y06,LA0428,0.454954136,0.366037147,0.350845696,0.238524439,0.089754976,0.096090167
GPI,Y06,LA0428,1.182921611,1.21177046,0.974982545,0.94137542,0.86781361,1.157611551
GPF,Y06,LA0428,0.207793918,0.304288447,0.208891114,0.277047553,0.161062802,NA
dGP,Y06,LA0428,0.150988218,0.223191982,0.150044617,0.218333358,0.120237185,NA
L4FM,Y06,LA0428,0.326820293,0.374906002,0.210064407,0.179960707,0.125514269,0.298084929
L4DM,Y06,LA0428,0.291288816,0.365317516,0.200841852,0.207566999,0.176939426,0.346028797
L4A,Y06,LA0428,0.234190976,0.262084637,0.140284585,0.184400995,0.14605277,0.293852412
RNa,Y06,LA0428,13.44990584,17.13251965,15.04083793,17.87559442,14.18180845,17.02850898
RK,Y06,LA0428,1.462508441,1.321464629,1.140954991,1.072112786,1.0645177,0.935677063
LNa,Y06,LA0428,11.96456348,36.64109163,25.45766971,20.77082366,20.09785841,29.73525999
LK,Y06,LA0428,0.236258488,0.332261417,0.184128932,0.520991803,0.752291639,0.373266202
